Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,10,2019,April,14.6870926033314,44.9091597758182,43.0340618265488,44.1467643388238
Brooklyn North,BKN02,10,2019,April,19.9501814568266,34.1940201111571,57.9470313498761,41.2136999269730
Brooklyn North,BKN03,10,2019,April,12.1641613296565,33.5215567195417,44.9197311047560,38.1559365633997
Brooklyn North,BKN04,10,2019,April,15.5418031271589,35.2113607057133,68.5112600518364,48.7507554470644
Brooklyn North,BKN05,10,2019,April,10.0518454148520,22.2654301541493,45.0517913754661,31.5301290076712
Brooklyn North,BKN08,10,2019,April,16.4483838242055,44.4849922042470,59.4027885400769,50.5504139390847
Brooklyn North,BKN09,10,2019,April,13.9656800914806,33.9518221951978,47.8644158129745,39.2362901346726
Brooklyn North,BKN16,10,2019,April,9.3035157873820,20.2899989434930,35.2459666814707,26.3709407757381
Brooklyn North,BKN17,10,2019,April,13.3531840029145,28.4479528872541,60.7536281944672,40.7187278494377
Brooklyn South,BKS06,10,2019,April,28.9512974587036,46.4422853330655,82.9932313538060,57.2441131708991
Brooklyn South,BKS07,10,2019,April,20.3784834210320,48.0276667391936,72.4576707842008,57.3069985937605
Brooklyn South,BKS10,10,2019,April,23.7688290120229,52.5835044935037,75.4481820754518,61.2682730526777
Brooklyn South,BKS11,10,2019,April,18.3833471388244,45.0012648336470,64.7665287947237,52.5087725340162
Brooklyn South,BKS12,10,2019,April,14.9388304014584,47.6229343057927,41.9659630240944,45.3228682777457
Brooklyn South,BKS13,10,2019,April,14.3481741742713,40.9647454848785,51.4886138736700,45.5607691296216
Brooklyn South,BKS14,10,2019,April,14.9961678861179,38.5903135709367,57.6266004550980,45.1165255200942
Brooklyn South,BKS15,10,2019,April,18.6553042325098,46.5980802597452,63.1177888614012,52.8728175857441
Brooklyn South,BKS18,10,2019,April,14.7319554977648,38.5354037311603,71.6319087956526,50.3033786294573
Bronx,BX01,10,2019,April,7.1464990151248,19.6327943968858,27.8922603271498,23.2398996272091
Bronx,BX02,10,2019,April,13.3878358065643,33.1647144930365,60.1846909898583,44.9649809228277
Bronx,BX03,10,2019,April,9.8046733167751,25.0216907033105,43.1308973312207,32.9304119809407
Bronx,BX04,10,2019,April,12.2530409793966,29.9790744520861,53.2875564742574,40.1584429636750
Bronx,BX05,10,2019,April,11.4152622851406,27.3160009788883,52.5580581279462,38.3398077401538
Bronx,BX06,10,2019,April,14.1283180397505,36.4236717742056,51.8583317256980,43.1643549018265
Bronx,BX07,10,2019,April,14.6308704394292,33.4212228051220,69.4134678876227,49.1398923394870
Bronx,BX08,10,2019,April,21.1617848842312,43.7302702602203,84.1009509793499,57.5705543717200
Bronx,BX09,10,2019,April,10.0878444009675,21.9875628430182,45.7350580527526,31.6430488377641
Bronx,BX10,10,2019,April,20.9783161039449,38.1144795711735,84.7950658486253,55.8453260514362
Bronx,BX11,10,2019,April,16.6594704269834,34.5644296863595,61.0905141686753,44.6399229306593
Bronx,BX12,10,2019,April,20.5839049211805,34.0133936224882,82.4112548741432,52.3965185199716
Manhattan,MN01,10,2019,April,28.0246416680049,46.1858392969374,78.9318355113946,54.0724968095967
Manhattan,MN02,10,2019,April,26.7143806048852,39.8908921878368,88.1873316223417,51.5227715298576
Manhattan,MN03,10,2019,April,14.1064074527328,40.9900576497824,44.8689246729630,42.6840511410294
Manhattan,MN04,10,2019,April,23.5672366609756,34.2263637048656,78.8648389355784,44.9772464609239
Manhattan,MN05,10,2019,April,21.1397076494414,34.2306405983943,66.5170310280400,42.0066050848924
Manhattan,MN06,10,2019,April,24.0012405542628,35.3500947745209,79.2226194174801,45.9165033763141
Manhattan,MN07,10,2019,April,27.5121894386379,41.8417421909042,86.6266672872699,52.6278964325395
Manhattan,MN08,10,2019,April,26.7404554153102,42.9007772043295,83.6431581945542,52.7133113234877
Manhattan,MN09,10,2019,April,18.5040758617699,55.7912288461937,53.4339991478922,54.7617705681879
Manhattan,MN10,10,2019,April,14.6492145788832,40.0289220830186,58.8423890887226,48.2452106190766
Manhattan,MN11,10,2019,April,11.3369989560303,39.9407320453851,32.9118343396977,36.8710452288693
Manhattan,MN12,10,2019,April,16.3874734204534,43.8457752985115,62.0483034777727,51.7952523173508
Queens East,QE07,10,2019,April,20.2270997203441,47.3652438271265,70.1074409647988,56.0034902209323
Queens East,QE08,10,2019,April,16.5276222636613,27.8050305166683,56.2020346599364,36.1971402500735
Queens East,QE10,10,2019,April,18.9774768988690,41.3276274731672,96.0854737213072,60.7976276703860
Queens East,QE11,10,2019,April,24.1926878639499,59.7648241358549,96.1926366622258,72.7172969898576
Queens East,QE12,10,2019,April,13.8666753825287,35.0265667939457,68.6310147829271,50.4540236201878
Queens East,QE13,10,2019,April,20.0408248308452,36.4847962103334,97.5904187089531,58.2118465531820
Queens East,QE14,10,2019,April,14.0026442106188,32.9165964737507,45.4454770844839,37.6754839769643
Queens West,QW01,10,2019,April,19.7697363153652,49.1006336978946,78.5464428351077,60.2851359274913
Queens West,QW02,10,2019,April,21.0434513048468,48.9819210853343,74.3577336513378,58.6205026199681
Queens West,QW03,10,2019,April,13.8866353353841,30.0283125279077,62.4559571424730,42.3454155085766
Queens West,QW04,10,2019,April,14.9432220939990,33.3771122761945,65.4707120551279,45.5673338663233
Queens West,QW05,10,2019,April,23.2916081740347,45.5592347045999,86.9292077249769,61.2729328179252
Queens West,QW06,10,2019,April,20.3674858275299,28.5364702731814,78.0942164935819,40.4721270472157
Queens West,QW09,10,2019,April,21.8457404844755,39.7175395071213,78.8726304751536,54.5899514076172
Staten Island,SI01,10,2019,April,20.1846373914586,45.2546327638932,85.5809212762943,59.5932691253666
Staten Island,SI02,10,2019,April,19.3363072658364,50.6301861736226,86.6471784527097,63.4365855268637
Staten Island,SI03,10,2019,April,19.5282416744231,52.1064310920711,90.5897769076670,65.7897806384339
Brooklyn North,BKN01,2,2019,August,16.6465088787499,51.1888593518837,44.8184952096783,48.2830823364398
Brooklyn North,BKN02,2,2019,August,19.3644314275180,32.5057356624591,55.9472076691007,39.4170350856099
Brooklyn North,BKN03,2,2019,August,12.3175228468850,35.6104660747865,40.0184223295223,37.6211106288762
Brooklyn North,BKN04,2,2019,August,15.6570999116529,37.4995086282158,60.1276363867905,47.8210996826059
Brooklyn North,BKN05,2,2019,August,9.9942956048547,23.4875341682480,38.9165737350874,30.5253341342913
Brooklyn North,BKN08,2,2019,August,15.6691829701888,46.1631242080785,49.8788276814686,47.8580046745889
Brooklyn North,BKN09,2,2019,August,12.7017255177733,33.5324739633426,42.2810588912784,37.0132409286478
Brooklyn North,BKN16,2,2019,August,9.6756398887778,21.8667943506198,31.9596143159917,26.4705318484637
Brooklyn North,BKN17,2,2019,August,13.3489418951003,27.6272800043533,55.9583323376125,38.8992504848652
Brooklyn South,BKS06,2,2019,August,26.6972365144211,43.1291620875562,76.3270968019662,52.9169803174221
Brooklyn South,BKS07,2,2019,August,19.9521728936397,44.7005062954135,65.8517773202258,53.1158838751973
Brooklyn South,BKS10,2,2019,August,22.3152530272888,53.0141250899173,70.4402111760610,59.9473771852966
Brooklyn South,BKS11,2,2019,August,18.4900247174627,44.7403419639456,56.6827335727318,49.4918169214402
Brooklyn South,BKS12,2,2019,August,15.6772588434246,50.7789021169872,38.2892429695052,45.0818707273628
Brooklyn South,BKS13,2,2019,August,14.4931776919393,38.0432584010642,50.7320675549827,43.4857806169272
Brooklyn South,BKS14,2,2019,August,14.2104442749881,32.7205961795017,52.4825538275304,39.1392961574633
Brooklyn South,BKS15,2,2019,August,19.2211765165820,46.8108492525377,57.6486097972114,51.1228287546547
Brooklyn South,BKS18,2,2019,August,14.3747539071291,31.2422283846465,61.0575147207391,41.8132595919300
Bronx,BX01,2,2019,August,6.7980614816849,17.3016395024826,26.8005705635284,21.3759496051551
Bronx,BX02,2,2019,August,12.8551582827339,30.5320605182100,55.2215750162285,41.1219613926227
Bronx,BX03,2,2019,August,9.1041476678656,22.6304150420325,37.7672959136947,29.1229715478140
Bronx,BX04,2,2019,August,11.7959399774154,26.7361174324381,50.4101108001221,36.8904379268893
Bronx,BX05,2,2019,August,10.9686860956482,24.0353703467362,49.8022661742416,35.0873848639315
Bronx,BX06,2,2019,August,12.3993440218134,34.5628423565328,44.9433370765326,39.0152753973277
Bronx,BX07,2,2019,August,14.2685734496834,31.8053866943123,64.0673630512610,45.6432907025161
Bronx,BX08,2,2019,August,20.9546130057710,39.7490282737467,81.4707774474564,53.3002864674675
Bronx,BX09,2,2019,August,9.6554820152197,22.9005152824823,37.3478138009639,29.4905040230203
Bronx,BX10,2,2019,August,21.1145192940261,38.8578160257282,73.2647975517644,52.5471938689119
Bronx,BX11,2,2019,August,17.0962286669597,35.0681324605989,53.4745869187902,42.3914400759695
Bronx,BX12,2,2019,August,21.1956972341691,33.6903379688178,72.1668081631125,48.9988281414626
